Date,TSLA,BND,SPY
2015-01-02,14.620667457580566,59.405399322509766,169.6878204345703
2015-01-05,14.005999565124512,59.577919006347656,166.6233673095703
2015-01-06,14.085332870483398,59.75040817260742,165.05392456054688
2015-01-07,14.063332557678223,59.78634262084961,167.1107177734375
2015-01-08,14.041333198547363,59.69292068481445,170.07606506347656
2015-01-09,13.77733325958252,59.79353332519531,168.713134765625
2015-01-12,13.480667114257812,59.872623443603516,167.39149475097656
2015-01-13,13.616666793823242,59.93010711669922,166.92074584960938
2015-01-14,12.845999717712402,60.06665802001953,165.9130096435547
2015-01-15,12.791333198547363,60.33256912231445,164.39303588867188
2015-01-16,12.871333122253418,60.15287399291992,166.54893493652344
2015-01-19,12.871333122253418,60.15287399291992,166.54893493652344
2015-01-20,12.795332908630371,60.088260650634766,166.90414428710938
2015-01-21,13.104666709899902,59.973167419433594,167.7467041015625
2015-01-22,13.441332817077637,59.987613677978516,170.24131774902344
2015-01-23,13.419333457946777,60.18168640136719,169.30787658691406
2015-01-26,13.770000457763672,60.10977554321289,169.704345703125
2015-01-27,13.732000350952148,60.145729064941406,167.4658966064453
2015-01-28,13.291333198547363,60.36133575439453,165.31820678710938
2015-01-29,13.680000305175781,60.296661376953125,166.84634399414062
2015-01-30,13.573332786560059,60.62731170654297,164.748291015625
2015-02-02,14.062666893005371,60.55527877807617,166.78855895996094
2015-02-03,14.557332992553711,60.36801528930664,169.2005157470703
2015-02-04,14.569999694824219,60.3896484375,168.5561981201172
2015-02-05,14.732666969299316,60.25995635986328,170.25782775878906
2015-02-06,14.490667343139648,59.871070861816406,169.7869415283203
2015-02-09,14.498666763305664,59.8494987487793,169.02699279785156
2015-02-10,14.419333457946777,59.741458892822266,170.8277587890625
2015-02-11,14.186667442321777,59.741458892822266,170.92678833007812
2015-02-12,13.525333404541016,59.770206451416016,172.57064819335938
2015-02-13,13.584667205810547,59.633419036865234,173.28102111816406
2015-02-16,13.584667205810547,59.633419036865234,173.28102111816406
2015-02-17,13.623332977294922,59.395748138427734,173.55361938476562
2015-02-18,13.630666732788086,59.5614013671875,173.57015991210938
2015-02-19,14.11400032043457,59.510963439941406,173.4462432861328
2015-02-20,14.473999977111816,59.525367736816406,174.48699951171875
2015-02-23,13.822667121887207,59.64775848388672,174.46221923828125
2015-02-24,13.607333183288574,59.89268493652344,174.957763671875
2015-02-25,13.583999633789062,59.95026779174805,174.8091583251953
2015-02-26,13.812666893005371,59.78464126586914,174.6026153564453
2015-02-27,13.555999755859375,59.835079193115234,174.00791931152344
2015-03-02,13.155332565307617,59.64167404174805,175.10646057128906
2015-03-03,13.303999900817871,59.56948471069336,174.38787841796875
2015-03-04,13.496000289916992,59.56948471069336,173.6526641845703
2015-03-05,13.375332832336426,59.605587005615234,173.84266662597656
2015-03-06,12.925333023071289,59.259178161621094,171.39776611328125
2015-03-09,12.725333213806152,59.33137893676758,172.10806274414062
2015-03-10,12.687999725341797,59.562294006347656,169.3160858154297
2015-03-11,12.916000366210938,59.62723159790039,168.91961669921875
2015-03-12,12.73799991607666,59.6705436706543,171.0672607421875
2015-03-13,12.578666687011719,59.6128044128418,170.0182647705078
